drug,region,region_id,wdeg_lo,wdeg_med,wdeg_hi,closeness_lo,closeness_med,closeness_hi,betweenness_lo,betweenness_med,betweenness_hi
KET,Inferior salivatory nucleus,106,164.7008701081491,185.34636510074546,210.05473941222778,26.957888570413473,130.36486293357234,178.43972828386748,0.0,0.0,0.40944825099170573
KET,Agranular insular area posterior part,111,160.1957541707709,181.3938322194627,210.79187301338294,26.29682310653384,122.43738777731956,181.2305582108742,0.0,0.15739752374083413,0.4161197259285972
KET,Trochlear nucleus,115,137.77616279132678,158.70451191504358,196.8427651294977,15.392878588939897,91.07988936477042,137.21426137932855,0.0,0.014569058781103499,0.3132708258204111
KET,Periventricular hypothalamic nucleus intermediate part,118,154.3760256874888,188.85535220941262,207.07342843322186,25.169932875221562,134.50876133599292,165.78141153744681,0.0,0.0004399567255679769,0.38864046159394156
KET,Agranular insular area ventral part,119,117.12753567600289,168.43976675172433,210.90814872653573,23.16819060217526,117.6077578408159,182.09066023361538,0.0038225748287053734,0.23993869455463396,0.46390191128741437
KET,Periventricular hypothalamic nucleus posterior part,126,174.2204200701466,188.62419437298095,210.8393711021228,27.6239580072989,144.0315939063783,181.0919029104942,0.0,0.021699895248398677,0.47547782185358817
KET,Anteromedial nucleus,127,175.8276442162562,188.82775468847768,211.35581844916447,28.859565262051404,144.4762091837792,183.45655938996563,0.0,0.00642805625676163,0.4609808871258565
KET,Midbrain reticular nucleus,128,136.74106081526594,177.09851400288653,197.58000363869675,21.71143245538164,116.6876925689163,173.1918497558109,0.0,0.03508835196538045,0.4954561846375766
KET,Nucleus ambiguus,135,161.02557625294205,183.2685220843685,210.63934856610302,26.48464342672419,129.66376968871634,180.90524259973077,0.00016227912008654887,0.18681031373963217,0.41269383339343674
KET,Intermediate reticular nucleus,136,175.6609527398788,188.91262015522886,211.33430675751526,29.011494418684563,144.84921177768194,184.04660460953016,0.0,0.0,0.1564010097367472
KET,Pontine reticular nucleus,146,160.0511035312859,182.00949423610325,207.75376407134922,25.417233440698805,129.85054489992768,169.84177279923347,0.0,0.13831590335376848,0.4023440317345835
KET,Locus ceruleus,147,146.10774970297928,175.07223281189212,211.37299123628242,24.5955164886447,125.12837804557306,183.81440239720018,0.0008071025020177563,0.27868734222863323,0.43321436827387066
KET,Paraventricular nucleus of the thalamus,149,134.28363568391495,168.85737418768792,210.7134321374146,21.185194989522355,108.10232253187704,181.00338632772966,0.0,0.10421925712225028,0.37670393076090875
KET,Accessory olfactory bulb,151,158.34132900994166,181.33233848719263,211.27384233271997,25.886524111934353,124.47759574001702,183.0416626905972,0.0,0.25432744320230793,0.4012621709340065
KET,Lateral dorsal nucleus of thalamus,155,172.58756789531162,186.42975522164323,209.6820094725553,26.37409330520369,139.86549158565396,174.63679604501408,0.0,0.0,0.467255679769203
KET,Anterior olfactory nucleus,159,135.8904932462659,169.9911028978254,211.1285518845143,21.342196361347327,107.64952227922171,183.03434697061826,0.0,0.226253155427335,0.41379372520735663
