drug,region,region_id,delta_eg,is_articulation_point,residual_gc
KET,Agranular insular area dorsal part,104,0.7430306376444378,False,
KET,Inferior salivatory nucleus,106,0.682294997736598,False,
KET,Agranular insular area posterior part,111,0.16048728618931563,False,
KET,Trochlear nucleus,115,-0.2154764514789136,True,0.673728813559322
KET,Periventricular hypothalamic nucleus intermediate part,118,0.4388064966347045,False,
KET,Agranular insular area ventral part,119,0.297133858298956,False,
KET,Periventricular hypothalamic nucleus posterior part,126,0.24536840470803867,False,
KET,Anteromedial nucleus,127,1.0210485864726024,False,
KET,Midbrain reticular nucleus,128,-0.09079873822183515,False,
KET,Nucleus ambiguus,135,0.4572786126167614,False,
KET,Intermediate reticular nucleus,136,0.5639665629178054,False,
KET,Pontine reticular nucleus,146,0.2060516127985892,False,
KET,Locus ceruleus,147,0.3755222529417992,False,
KET,Paraventricular nucleus of the thalamus,149,-0.02816144742899951,False,
KET,Accessory olfactory bulb,151,0.26026810130434797,False,
KET,Lateral dorsal nucleus of thalamus,155,0.15600575063685085,False,
KET,Anterior olfactory nucleus,159,0.013862457631574898,False,
KET,Nucleus prepositus,169,-0.307843896330283,False,
KET,Dorsal part of the lateral geniculate complex,170,-0.34723271506501874,False,
KET,Retrochiasmatic area,173,-0.138565694319567,False,
KET,Nucleus of Roller,177,-0.05689363997571206,True,0.673728813559322
KET,Ventral part of the lateral geniculate complex,178,-0.26404783115454933,False,
KET,Nucleus of reuniens,181,-0.3132632450342001,False,
KET,Frontal pole cerebral cortex,184,-0.2670968397706375,False,
KET,Lateral habenula,186,-0.1492279809625785,False,
KET,Rhomboid nucleus,189,0.16995213094499206,False,
KET,Lateral hypothalamic area,194,0.037973901603457705,False,
KET,Rostral linear nucleus raphe,197,-0.41225924997375074,False,
KET,Medial vestibular nucleus,202,-0.0780988327700669,False,
KET,Linear nucleus of the medulla,203,0.20731196745116165,False,
KET,Nucleus raphe magnus,206,0.06039771848357134,False,
KET,Area postrema,207,-0.36687658715945304,False,
KET,Lateral vestibular nucleus,209,0.19036399247368507,False,
KET,Lateral mammillary nucleus,210,-0.04183397251633636,False,
KET,Red nucleus,214,-0.2453405451812003,False,
KET,Anterior pretectal nucleus,215,-0.41276526881932796,False,
KET,Superior vestibular nucleus,217,-0.42149444955833104,False,
KET,Lateral posterior nucleus of the thalamus,218,-0.32050548605723606,False,
KET,Lateral preoptic area,226,0.3549943116018923,False,
KET,Nucleus raphe pallidus,230,0.40375200075799,False,
KET,Anterior tegmental nucleus,231,-0.31672177563601167,False,
KET,Lateral reticular nucleus,235,0.3811918728050401,False,
KET,Nucleus raphe pontis,238,0.2758966601257029,False,
KET,Midbrain reticular nucleus retrorubral area,246,-0.09721666692230713,False,
KET,Lateral septal nucleus caudal (caudodorsal) part,250,-0.2201261660670184,False,
KET,Lateral septal nucleus rostral (rostroventral) part,258,0.041522807128984596,False,
KET,Reticular nucleus of the thalamus,262,-0.03295021733786996,False,
KET,Anteroventral preoptic nucleus,263,-0.3651360353555617,False,
KET,Anteroventral periventricular nucleus,272,-0.24761552427198552,False,
KET,Barrington's nucleus,280,0.009882794848671494,True,0.597457627118644
KET,Suprachiasmatic nucleus,286,-0.04216404745199043,False,
KET,Bed nucleus of the anterior commissure,287,0.26712399093491257,False,
KET,Bed nucleus of the accessory olfactory tract,292,-0.15682944057054016,False,
KET,Superior colliculus motor related,294,0.5599822399031353,False,
KET,Basolateral amygdalar nucleus,295,0.28055728141886505,False,
KET,Magnocellular nucleus,298,0.5116336087819562,False,
KET,Superior colliculus sensory related,302,0.23984603532846194,False,
KET,Basomedial amygdalar nucleus,319,0.40475586336410885,True,0.6271186440677966
KET,Suprageniculate nucleus,325,0.543154685178358,False,
KET,Primary somatosensory area barrel field,329,0.5603590804577934,False,
KET,Accessory supraoptic group,332,0.9220531045111144,False,
KET,Septohippocampal nucleus,333,-0.22429803091733902,False,
KET,Primary somatosensory area lower limb,337,0.2713181980870303,False,
KET,Subfornical organ,338,0.25670193860179324,False,
KET,Primary somatosensory area mouth,345,0.8397331699160944,False,
KET,Subparaventricular zone,347,-0.366973023826894,False,
KET,Subceruleus nucleus,350,0.34105151972799774,False,
KET,Bed nuclei of the stria terminalis,351,0.7213764361873487,False,
KET,Primary somatosensory area nose,353,0.039007179591607155,False,
KET,Preparasubthalamic nucleus,356,-0.118006387421147,False,
KET,Sublaterodorsal nucleus,358,-0.2857989647398895,False,
KET,Primary somatosensory area trunk,361,-0.2257133637138793,False,
KET,Mediodorsal nucleus of thalamus,362,0.063593404802333,False,
KET,Parasubthalamic nucleus,364,0.9224203057939846,False,
KET,Submedial nucleus of the thalamus,366,-0.4135080510466338,False,
KET,Primary somatosensory area upper limb,369,0.08722395513937187,True,0.614406779661017
KET,Infracerebellar nucleus,372,-0.37468633375552685,False,
KET,Substantia nigra compact part,374,-0.19896338519085077,True,0.6610169491525424
KET,Supplemental somatosensory area,378,0.17866219911758918,False,
KET,Field CA1,382,-0.41606040983898396,False,
KET,Primary visual area,385,0.6142821967335479,False,
KET,Supraoptic nucleus,390,-0.0006897451996650261,False,
KET,Anteromedial visual area,394,-0.013481950825152467,False,
KET,Medullary reticular nucleus,395,-0.2599558855080133,False,
KET,Superior olivary complex,398,0.2730223093494786,False,
KET,Anterolateral visual area,402,0.6853402068558339,False,
KET,Medial amygdalar nucleus,403,0.024752117599412315,False,
KET,Lateral visual area,409,1.0014623985327091,False,
KET,Field CA2,423,0.32821681991469376,False,
KET,Posterolateral visual area,425,0.19000533058604674,True,0.6313559322033898
KET,Spinal nucleus of the trigeminal oral part,445,0.6952023930599367,False,
KET,Field CA3,463,-0.34391115007320394,False,
KET,Medial geniculate complex,475,-0.009462792774264983,False,
KET,Medial mammillary nucleus,491,0.13483129953431217,False,
KET,Subiculum,502,-0.015731409825491482,False,
KET,Main olfactory bulb,507,0.17523179565605318,False,
KET,Medial preoptic nucleus,515,0.40336852268642076,False,
KET,Medial preoptic area,523,0.2892635832163464,False,
KET,Medial pretectal area,531,-0.23976236602273815,False,
KET,posteromedial visual area,533,-0.0354414343795213,False,
KET,Central amygdalar nucleus,536,0.020141658920792338,False,
KET,Temporal association areas,541,0.004693443904116634,True,0.6652542372881356
KET,Medial septal nucleus,564,0.05187125658405023,False,
KET,Postpiriform transition area,566,0.13871999674464774,True,0.6186440677966102
KET,Tegmental reticular nucleus,574,0.2770839838374499,False,
KET,Central lateral nucleus of the thalamus,575,0.8487362733518466,False,
KET,Accessory facial motor nucleus,576,-0.03676088492512264,False,
KET,Taenia tecta,589,0.10313697700664193,True,0.6101694915254238
KET,Central linear nucleus raphe,591,-0.4030361592424896,False,
KET,Diagonal band nucleus,596,-0.014258796369425397,False,
KET,Central medial nucleus of the thalamus,599,-0.1981933552026618,True,0.6652542372881356
KET,Subparafascicular area,609,0.05697886208701419,False,
KET,Nucleus of the lateral lemniscus,612,0.37616061826881975,False,
KET,Tuberal nucleus,614,-0.3990812415935636,False,
KET,Cuneiform nucleus,616,-0.32374445437301347,False,
KET,Nucleus of the lateral olfactory tract,619,-0.31763854175458306,False,
KET,Motor nucleus of trigeminal,621,0.08541428596180367,False,
KET,Cortical amygdalar area anterior part,639,0.4425669344670595,False,
KET,Nucleus of the trapezoid body,642,-0.2084069319852162,False,
KET,Cortical amygdalar area posterior part,647,0.15044738915826628,False,
KET,Nucleus of the solitary tract,651,0.192494097326545,False,
KET,Abducens nucleus,653,-0.359265532031678,False,
KET,Facial motor nucleus,661,-0.4072883577113018,False,
KET,Caudoputamen,672,-0.19202724432448548,False,
KET,Visceral area,677,-0.08797060833035886,False,
KET,Superior central nucleus raphe,679,0.25960997272483155,False,
KET,Ventral medial nucleus of the thalamus,685,-0.24968700564362223,False,
KET,Ventrolateral preoptic nucleus,689,-0.35262366948368395,False,
KET,Ventromedial hypothalamic nucleus,693,0.09831293309166966,True,0.6652542372881356
KET,Olivary pretectal nucleus,706,-0.3341950263467197,False,
KET,Cuneate nucleus,711,-0.28864574999617076,False,
KET,Ventral posterolateral nucleus of the thalamus,718,-0.34740527768948937,False,
KET,Dentate gyrus,726,0.017305428401776624,False,
KET,Orbital area medial part,731,0.12123338491672087,False,
KET,Ventral posteromedial nucleus of the thalamus,733,-0.03244850009171785,True,0.6567796610169492
KET,Orbital area ventrolateral part,746,-0.17393879964793513,False,
KET,Ventral tegmental area,749,-0.4176713958937839,False,
KET,Olfactory tubercle,754,0.45295610655865204,False,
KET,Ventral tegmental nucleus,757,-0.35082322095915686,False,
KET,Vascular organ of the lamina terminalis,763,-0.3843057254659499,False,
KET,Nucleus x,765,-0.4015588657484699,False,
KET,Hypoglossal nucleus,773,-0.38279821938410663,False,
KET,Posterior amygdalar nucleus,780,-0.03357475658820874,False,
KET,Nucleus y,781,-0.39782555915873985,False,
KET,Piriform-amygdalar area,788,0.09305169133786251,True,0.6271186440677966
KET,Periaqueductal gray,795,-0.14080155961230645,False,
KET,Zona incerta,797,0.6130925905886286,False,
KET,Dorsal peduncular area,814,0.8501161052826944,False,
KET,Dorsomedial nucleus of the hypothalamus,830,0.08336323999525064,False,
KET,Dorsal motor nucleus of the vagus nerve,839,-0.22959217844582014,False,
KET,Parasubiculum,843,-0.015496402881431948,False,
KET,Dentate nucleus,846,-0.2526884686709323,False,
KET,Parvicellular reticular nucleus,852,-0.07688846798586724,False,
KET,Parasolitary nucleus,859,0.21940225829963822,False,
KET,Parabrachial nucleus,867,0.660352162698814,False,
KET,Dorsal nucleus raphe,872,-0.0017509156877437704,False,
KET,Parabigeminal nucleus,874,-0.27800495792362767,False,
KET,Retrosplenial area dorsal part,879,0.36277260315866044,False,
KET,Dorsal tegmental nucleus,880,-0.2218867634534618,False,
KET,Retrosplenial area ventral part,886,0.4899382810554087,False,
KET,Retrosplenial area lateral agranular part,894,0.39260623656109317,False,
KET,Ectorhinal area,895,0.2629068111861699,False,
KET,External cuneate nucleus,903,-0.10019909919297731,False,
KET,Paracentral nucleus,907,-0.1759534654826993,True,0.6652542372881356
KET,Lingula (I),912,0.5953955597877894,False,
KET,Entorhinal area lateral part,918,0.783765591303009,False,
KET,Central lobule,920,-0.0650323831903421,False,
KET,Perirhinal area,922,0.7576152966978711,False,
KET,Entorhinal area medial part dorsal zone,926,-0.19927187342565844,False,
KET,Culmen,928,0.28116042968299837,True,0.5635593220338984
KET,Parafascicular nucleus,930,0.4448783191636707,False,
KET,Pontine gray,931,-0.05027468212671948,False,
KET,Declive (VI),936,0.04007812233152208,False,
KET,Folium-tuber vermis (VII),944,-0.17813960813217733,True,0.6610169491525424
KET,Posterior hypothalamic nucleus,946,-0.32641292891005236,False,
KET,Pyramus (VIII),951,-0.3133460035951572,False,
KET,Uvula (IX),957,0.006382323716792371,False,
KET,Piriform area,961,-0.13124831475833787,True,0.6567796610169492
KET,Nodulus (X),968,-0.2658643966780474,False,
KET,Paragigantocellular reticular nucleus dorsal part,970,-0.048608171213068374,False,
KET,Prelimbic area,972,0.6452544149161525,False,
