comparison,metric,region,region_id,diff,p_value,q_value,significant_fdr05
PSI_vs_SAL,wdeg,Posterior complex of the thalamus,1020,35.18353720046245,0.22297770222977703,0.7015037132650371,False
PSI_vs_SAL,wdeg,Paramedian lobule,1025,-11.63387876147317,0.7443255674432556,0.9685936168287933,False
PSI_vs_SAL,wdeg,Posterior auditory area,1027,-53.201084363060176,0.015298470152984701,0.34417986772751297,False
PSI_vs_SAL,wdeg,Posterior limiting nucleus of the thalamus,1029,-25.283072281200617,0.54994500549945,0.9056115221811153,False
PSI_vs_SAL,wdeg,Copula pyramidis,1033,-6.795194191202199,0.999000099990001,1.0,False
PSI_vs_SAL,wdeg,Postsubiculum,1037,-7.364240307307057,0.7571242875712428,0.9685936168287933,False
PSI_vs_SAL,wdeg,Paraflocculus,1041,-50.08773661053138,0.12208779122087791,0.6355273563552735,False
PSI_vs_SAL,wdeg,Flocculus,1049,-37.18150359982968,0.26047395260473954,0.7015037132650371,False
PSI_vs_SAL,wdeg,Gustatory areas,1057,-27.111016498213814,0.28917108289171084,0.7210497700229976,False
PSI_vs_SAL,wdeg,Parapyramidal nucleus,1069,-23.523012346681043,0.39376062393760625,0.8114892858540232,False
PSI_vs_SAL,wdeg,Presubiculum,1084,-0.3994339379865721,0.9975002499750025,1.0,False
PSI_vs_SAL,wdeg,Medullary reticular nucleus dorsal part,1098,-26.042078081727283,0.25747425257474255,0.7015037132650371,False
PSI_vs_SAL,wdeg,Intercalated amygdalar nucleus,1105,14.585189531400545,0.49595040495950404,0.8948017606998424,False
PSI_vs_SAL,wdeg,Medullary reticular nucleus ventral part,1107,-13.380944129158905,0.6814318568143186,0.9685936168287933,False
PSI_vs_SAL,wdeg,Parastrial nucleus,1109,7.813996435029594,0.7724227577242275,0.9685936168287933,False
PSI_vs_SAL,wdeg,Interanteromedial nucleus of the thalamus,1120,-40.77935485962219,0.15958404159584041,0.6635336466353364,False
PSI_vs_SAL,wdeg,Tuberomammillary nucleus dorsal part,1126,-50.0914084602953,0.2518748125187481,0.7015037132650371,False
PSI_vs_SAL,wdeg,Median eminence,10671,-26.540532965884722,0.35526447355264473,0.7868942077754841,False
PSI_vs_SAL,closeness,Tuberomammillary nucleus ventral part,1,-1.7085546585432105,0.6704329567043296,0.9049932844553382,False
