drug,region,region_id,weighted_degree,weighted_degree_z,closeness,closeness_z,betweenness,betweenness_z,cluster
PSI,Entorhinal area medial part dorsal zone,926,123.30120390703972,-0.5705053408286616,10.408538632852082,-1.2264401141791015,0.023332131265777135,-0.5040957109755203,1
PSI,Culmen,928,120.20454782561526,-0.6918603337571603,14.212491028728078,-0.38244107593679005,0.020915975477821855,-0.5451361939255832,1
PSI,Parafascicular nucleus,930,143.54895531582227,0.22298468984355824,17.810353532899,0.41583192467710156,0.12109628561125135,1.1565124871979247,1
PSI,Pontine gray,931,111.6372497710955,-1.0276045583286972,11.47005258529291,-0.9909175151286639,0.0421925712225027,-0.1837349261563718,0
PSI,Declive (VI),936,132.1754070061607,-0.22273380081169497,16.907731384056063,0.21556332343341722,0.1001442481067436,0.8006241201234976,1
PSI,Folium-tuber vermis (VII),944,158.73235385370322,0.8180075705722238,17.916576201032605,0.43939999820017955,0.03278038225748287,-0.3436090463051246,0
PSI,Posterior hypothalamic nucleus,946,161.65761886769724,0.9326459113349256,19.60751553595897,0.8145758742051404,0.04882798413270826,-0.07102673417410917,0
PSI,Pyramus (VIII),951,142.29135604509486,0.17370057607920145,17.30181785199445,0.30300095811173255,0.034763793725207354,-0.30991909761477443,0
PSI,Uvula (IX),957,99.23314841879673,-1.5137094380156155,9.852446632796763,-1.3498226028058682,0.0005048683736025965,-0.8918363931753691,1
PSI,Piriform area,961,167.89425886160402,1.1770538734906717,21.449597929105057,1.223286501042615,0.011756220699603318,-0.700722502422837,0
PSI,Nodulus (X),968,101.12004662263969,-1.439763700367272,10.577164100801529,-1.189026467013909,0.0012261089073205913,-0.8795855027425146,1
PSI,Paragigantocellular reticular nucleus dorsal part,970,130.84590449514286,-0.2748357338583812,14.54696305565798,-0.30823034991565507,0.003281644428416877,-0.8446704650088789,0
PSI,Prelimbic area,972,168.2839679957719,1.1923262020856376,20.809820929874327,1.0813364670133538,0.003173458348359178,-0.846508098573807,0
PSI,Edinger-Westphal nucleus,975,161.19631282408636,0.9145677682708369,19.841858192710088,0.8665704725422587,0.1290659935088352,1.291884826480968,0
PSI,Paragigantocellular reticular nucleus lateral part,978,156.96053394205998,0.7485716412361093,18.643940673049126,0.6007834359895474,0.05315542733501623,0.0024786084230185895,0
PSI,Dorsal premammillary nucleus,980,147.93314558355308,0.3947969172746804,17.39035940275778,0.32264604719585216,0.0033177064551027768,-0.8440579204872362,0
PSI,Fasciola cinerea,982,142.16408996286464,0.16871313992129852,13.78744246550083,-0.4767484019062206,0.02618103137396322,-0.45570469376574446,0
PSI,Primary motor area,985,167.28155798808098,1.1530427117024145,21.463290171456435,1.2263244568773077,0.22405337179949514,2.9053270964879228,0
PSI,Fastigial nucleus,989,94.91063182779567,-1.6831047329858455,10.551245343685624,-1.1947771714922237,0.0284529390551749,-0.41711438890225244,0
PSI,Secondary motor area,993,123.55038415152198,-0.5607402051429587,13.886245780683549,-0.45482649166365996,0.04900829426613776,-0.06796401156589549,0
PSI,Fundus of striatum,998,141.33220162016374,0.13611223065296,13.166608010089442,-0.6144955734646685,0.03880274071402813,-0.24131411119078847,1
PSI,Primary auditory area,1002,143.03803548668384,0.20296222993138002,15.914449359148493,-0.004820368705902925,0.02268301478543094,-0.5151215123650894,1
PSI,Ventral premammillary nucleus,1004,127.98953367110983,-0.38677417714597034,15.832948323544437,-0.02290334885574652,0.01676884240894338,-0.6155788139144974,1
PSI,Simple lobule,1007,157.68797779577665,0.7770794707794719,19.380197315102357,0.7641398172276836,0.062459430219978365,0.16051509500684333,1
PSI,fiber tracts,1009,164.12790082468427,1.0294539008368342,21.756855458615107,1.2914590311931855,0.1692390912369275,1.974259423590971,0
PSI,Dorsal auditory area,1011,148.56639412057407,0.4196133223618138,20.05073449499333,0.9129147428937461,0.12408943382618103,1.207353682494271,0
PSI,Ansiform lobule,1017,158.18898519651958,0.7967134720943085,19.49643671756277,0.7899303460441874,0.10833032816444284,0.9396717265363975,1
PSI,Ventral auditory area,1018,135.19722789458342,-0.10431152759075589,15.833721394257743,-0.02273182438051099,0.05337179949513163,0.0061538755528749945,0
PSI,Posterior complex of the thalamus,1020,117.43753583717748,-0.8002968896615137,8.98821354150735,-1.5415736611672262,0.02697439596105301,-0.4422287142896044,0
PSI,Paramedian lobule,1025,162.08414258217658,0.9493609681554002,19.90833463693479,0.8813198829324211,0.06419040750090155,0.18991723204569433,1
PSI,Posterior auditory area,1027,120.64046031647558,-0.6747773397614357,13.723064897851973,-0.49103212565600257,0.031193653083303283,-0.37056100525740476,1
PSI,Posterior limiting nucleus of the thalamus,1029,143.54504056812755,0.22283127462200372,18.93029081705843,0.6643171559189592,0.04850342589253516,-0.07653963486889377,0
PSI,Copula pyramidis,1033,145.58477865460546,0.3027666612299515,18.71625684602519,0.6168285317450389,0.02138478182473855,-0.5371731151442277,0
PSI,Postsubiculum,1037,164.50502197406965,1.044232918336187,19.290236797298412,0.7441798959130466,0.029282365668950594,-0.40302586490446957,1
PSI,Paraflocculus,1041,122.08782133789177,-0.618056644307858,11.447445641665428,-0.9959334135136905,0.02614496934727732,-0.4563172382873872,1
PSI,Flocculus,1049,132.9771243439527,-0.1913152643968761,15.389670713076312,-0.12125523078651197,0.05290299314821493,-0.0018092032284805501,1
PSI,Gustatory areas,1057,138.05485790837707,0.007676262140376591,16.021163954543866,0.01885685080340444,0.026541651640822214,-0.44957924854931713,1
PSI,Parapyramidal nucleus,1069,145.1206435334424,0.2845776493198201,15.257042277688036,-0.15068206379121601,0.03310494049765597,-0.33809614561034,1
PSI,Presubiculum,1084,96.65770319482353,-1.6146386754655924,9.13912186447995,-1.5080909920387382,0.015614857554994591,-0.6351802386070646,1
PSI,Medullary reticular nucleus dorsal part,1098,144.4306879110489,0.25753894774143005,16.30813387743484,0.08252808369975556,0.09379733141002525,0.6928162843143769,1
PSI,Intercalated amygdalar nucleus,1105,158.09194539607344,0.7929105750378465,21.249552961795843,1.1789016764067353,0.24987378290659934,3.343908973984118,0
PSI,Medullary reticular nucleus ventral part,1107,144.69073622392239,0.26772999264277864,19.20685415776411,0.7256794363254468,0.07850703209520375,0.43309740713785877,0
PSI,Parastrial nucleus,1109,167.34831998724172,1.155659050657407,22.00761207542315,1.347095464406264,0.1152542372881356,1.057280274691802,0
PSI,Interanteromedial nucleus of the thalamus,1120,95.86821609270912,-1.6455779206303842,7.483602417718755,-1.8754081073561404,0.002560403894698882,-0.8569213554417335,0
PSI,Tuberomammillary nucleus dorsal part,1126,96.08516371894686,-1.6370759504549217,8.845962625442946,-1.5731354747371344,0.016191849981968987,-0.6253795262607811,0
PSI,Median eminence,10671,140.18363155355007,0.09110086721873877,12.442689886046223,-0.7751143554244659,0.008041831950955643,-0.7638145881520384,0
KET,Tuberomammillary nucleus ventral part,1,183.0358025532317,0.9782525258420479,29.14500451323199,1.214068423939159,0.33894698882077173,4.02480357224876,1
KET,Inferior colliculus,4,183.7942954296559,1.0027054764696168,28.798549026771077,1.1624791076811931,0.028092318788315904,-0.4953434539344354,0
KET,Principal sensory nucleus of the trigeminal,7,170.61448966379433,0.5778034771351982,26.101425722410657,0.7608611435474978,0.07717273710782546,0.21833637235736608,0
KET,Interfascicular nucleus raphe,12,183.19351661753785,0.9833370485153958,28.057766162153136,1.0521720611060517,0.03869455463397043,-0.3411760263592777,1
KET,Induseum griseum,19,182.9455201033452,0.9753419219877068,28.051199480943282,1.0511942425783065,0.00021637216011539847,-0.9006884250759215,1
KET,Anterior amygdalar area,23,179.01024649163645,0.8484731611540591,27.40764351090173,0.955364868342313,0.06671474936891453,0.066266460803639,1
KET,Intergeniculate leaflet of the lateral geniculate complex,27,180.02459158056683,0.8811744971189595,26.199166691989344,0.7754153647620724,0.05986296429859358,-0.03336555021432003,0
KET,Periventricular hypothalamic nucleus anterior part,30,180.96774511656346,0.9115806981088339,27.66797056056294,0.9941291397142737,0.0143166245943022,-0.6956562339810689,1
KET,Paraventricular hypothalamic nucleus,38,181.7502570158369,0.9368079948088713,28.46891545636315,1.113394676412024,0.17428777497295347,1.6304890337855962,1
KET,Anterior cingulate area dorsal part,39,151.94970358173106,-0.02392807068169642,20.978278858374434,-0.0020063939379887847,0.05265055896141363,-0.13824135128585588,1
KET,Infralimbic area,44,165.56805268504775,0.41511206878845336,24.25582894006891,0.48604062602148845,0.07731698521456906,0.22043388837879682,1
KET,Anterior cingulate area ventral part,48,160.32056251705018,0.24593893350256193,24.072755569380895,0.4587798944472422,0.18020194734944103,1.7164871906642556,0
